checked_at,target_url,keyword,rank,matched_url,provider
2026-09-20T09:33:53,gbp:5558918595392795634,せんげん台　整体,5.0,https://maps.app.goo.gl/uVZhgeL29M1kHYvYA?g_st=ic,serper-places-auto
2026-09-20T09:33:53,gbp:5558918595392795634,せんげん台　整骨院,,,serper-places-auto
2026-09-20T09:33:53,gbp:5558918595392795634,せんげん台　交通事故治療,9.0,https://maps.app.goo.gl/uVZhgeL29M1kHYvYA?g_st=ic,serper-places-auto
2026-09-20T09:33:53,gbp:120948687201481996,越谷　フェイシャル,,,serper-places-auto
2026-09-20T09:33:53,gbp:5558918595392795634,越谷　整骨院,,,serper-places-auto
2026-09-20T09:33:53,gbp:120948687201481996,せんげん台　エステ,,,serper-places-auto
2026-09-20T09:33:53,gbp:120948687201481996,越谷　オイルマッサージ,,,serper-places-auto
2026-09-20T09:33:53,gbp:120948687201481996,せんげん台　マッサージ,5.0,https://maps.app.goo.gl/L4bCG7AZKwzkhpFx5?g_st=ic,serper-places-auto
2026-09-20T09:33:53,gbp:5558918595392795634,越谷　整体,,,serper-places-auto
2026-09-20T09:33:53,gbp:120948687201481996,越谷　マッサージ,,,serper-places-auto
2026-09-20T09:33:53,gbp:5558918595392795634,せんげん台　訪問マッサージ,1.0,https://maps.app.goo.gl/uVZhgeL29M1kHYvYA?g_st=ic,serper-places-auto
2026-09-20T09:33:53,https://ponte-nene.jp/,せんげん台　訪問マッサージ,1.0,https://ponte-nene.jp/feature/visit-massage/,serper-auto
2026-09-20T09:33:53,gbp:120948687201481996,越谷　エステ,,,serper-places-auto
2026-09-20T09:33:53,https://ponte-nene.net/,越谷　おすすめ,,,serper-auto
2026-09-20T09:33:53,https://ponte-aroma.jp/,せんげん台　フェイシャル,9.0,https://ponte-aroma.jp/blog/detail/20211019161356/,serper-auto
2026-09-20T09:33:53,https://ponte-nene.jp/,越谷　整骨院,,,serper-auto
2026-09-20T09:33:53,https://ponte-nene.jp/,せんげん台　交通事故治療,,,serper-auto
2026-09-20T09:33:53,https://ponte-nene.jp/,越谷　交通事故治療,,,serper-auto
2026-09-20T09:33:53,https://ponte-nene.jp/,越谷　訪問マッサージ,3.0,https://ponte-nene.jp/feature/visit-massage/,serper-auto
2026-09-20T09:33:53,https://ponte-nene.jp/,せんげん台　整体,4.0,https://ponte-nene.jp/,serper-auto
2026-09-20T09:33:53,https://ponte-aroma.jp/,せんげん台　オイルマッサージ,3.0,https://ponte-aroma.jp/,serper-auto
2026-09-20T09:33:53,https://ponte-aroma.jp/,越谷　マッサージ,,,serper-auto
2026-09-20T09:33:53,https://ponte-aroma.jp/,せんげん台　マッサージ,4.0,https://ponte-aroma.jp/,serper-auto
2026-09-20T09:33:53,https://ponte-nene.jp/,せんげん台　整骨院,6.0,https://ponte-nene.jp/,serper-auto
2026-09-20T09:33:53,https://ponte-aroma.jp/,越谷　オイルマッサージ,6.0,https://ponte-aroma.jp/,serper-auto
2026-09-20T09:33:53,https://ponte-aroma.jp/,せんげん台　エステ,,,serper-auto
2026-09-20T09:33:53,gbp:120948687201481996,せんげん台　フェイシャル,10.0,https://maps.app.goo.gl/L4bCG7AZKwzkhpFx5?g_st=ic,serper-places-auto
2026-09-20T09:33:53,gbp:120948687201481996,せんげん台　オイルマッサージ,1.0,https://maps.app.goo.gl/L4bCG7AZKwzkhpFx5?g_st=ic,serper-places-auto
2026-09-20T09:33:53,https://ponte-nene.jp/,越谷　整体,,,serper-auto
2026-09-20T09:33:53,https://ponte-aroma.jp/,越谷　エステ,,,serper-auto
2026-09-20T09:33:53,https://ponte-aroma.jp/,越谷　フェイシャル,,,serper-auto
2026-09-20T10:05:31,https://ponte-nene.jp/,せんげん台　整骨院,6.0,https://ponte-nene.jp/,serper-auto
2026-09-20T10:05:31,https://ponte-nene.jp/,越谷　整骨院,,,serper-auto
2026-09-20T10:05:31,https://ponte-nene.jp/,越谷　交通事故治療,,,serper-auto
2026-09-20T10:05:31,https://ponte-nene.jp/,越谷　訪問マッサージ,2.0,https://ponte-nene.jp/feature/visit-massage/,serper-auto
2026-09-20T10:05:31,https://ponte-nene.jp/,せんげん台　整体,5.0,https://ponte-nene.jp/,serper-auto
2026-09-20T10:05:31,https://ponte-aroma.jp/,せんげん台　オイルマッサージ,4.0,https://ponte-aroma.jp/,serper-auto
2026-09-20T10:05:31,https://ponte-nene.jp/,せんげん台　訪問マッサージ,1.0,https://ponte-nene.jp/feature/visit-massage/,serper-auto
2026-09-20T10:05:31,https://ponte-nene.jp/,越谷　整体,,,serper-auto
2026-09-20T10:05:31,https://ponte-aroma.jp/,越谷　フェイシャル,,,serper-auto
2026-09-20T10:05:31,https://ponte-aroma.jp/,越谷　オイルマッサージ,6.0,https://ponte-aroma.jp/,serper-auto
2026-09-20T10:05:31,https://ponte-aroma.jp/,せんげん台　マッサージ,5.0,https://ponte-aroma.jp/,serper-auto
2026-09-20T10:05:31,https://ponte-aroma.jp/,せんげん台　エステ,,,serper-auto
2026-09-20T10:05:31,https://ponte-nene.jp/,せんげん台　交通事故治療,9.0,https://ponte-nene.jp/column/category/%E4%BA%A4%E9%80%9A%E4%BA%8B%E6%95%85%E6%B2%BB%E7%99%82/15/,serper-auto
2026-09-20T10:05:31,gbp:120948687201481996,せんげん台　オイルマッサージ,1.0,https://maps.app.goo.gl/L4bCG7AZKwzkhpFx5?g_st=ic,serper-places-auto
2026-09-20T10:05:31,https://ponte-aroma.jp/,越谷　エステ,,,serper-auto
2026-09-20T10:05:31,gbp:120948687201481996,せんげん台　フェイシャル,,,serper-places-auto
2026-09-20T10:05:31,gbp:5558918595392795634,せんげん台　訪問マッサージ,2.0,https://maps.app.goo.gl/uVZhgeL29M1kHYvYA?g_st=ic,serper-places-auto
2026-09-20T10:05:31,https://ponte-aroma.jp/,越谷　マッサージ,,,serper-auto
2026-09-20T10:05:31,https://ponte-aroma.jp/,せんげん台　フェイシャル,,,serper-auto
2026-09-20T10:05:31,gbp:5558918595392795634,越谷　整骨院,,,serper-places-auto
2026-09-20T10:05:31,gbp:5558918595392795634,越谷　交通事故治療,,,serper-places-auto
2026-09-20T10:05:31,gbp:5558918595392795634,越谷　訪問マッサージ,,,serper-places-auto
2026-09-20T10:05:31,gbp:5558918595392795634,せんげん台　整体,5.0,https://maps.app.goo.gl/uVZhgeL29M1kHYvYA?g_st=ic,serper-places-auto
2026-09-20T10:05:31,gbp:5558918595392795634,せんげん台　整骨院,,,serper-places-auto
2026-09-20T10:05:31,gbp:120948687201481996,越谷　エステ,,,serper-places-auto
2026-09-20T10:05:31,gbp:120948687201481996,せんげん台　エステ,,,serper-places-auto
2026-09-20T10:05:31,gbp:120948687201481996,越谷　マッサージ,,,serper-places-auto
2026-09-20T10:05:31,gbp:120948687201481996,越谷　フェイシャル,,,serper-places-auto
2026-09-20T10:05:31,gbp:120948687201481996,越谷　オイルマッサージ,,,serper-places-auto
2026-09-20T10:05:31,gbp:120948687201481996,せんげん台　マッサージ,8.0,https://maps.app.goo.gl/L4bCG7AZKwzkhpFx5?g_st=ic,serper-places-auto
2026-09-20T10:05:31,gbp:5558918595392795634,越谷　整体,,,serper-places-auto
2026-09-20T10:05:31,gbp:5558918595392795634,せんげん台　交通事故治療,9.0,https://maps.app.goo.gl/uVZhgeL29M1kHYvYA?g_st=ic,serper-places-auto
2026-09-20T10:05:31,https://ponte-nene.net/,越谷　おすすめ,,,serper-auto
2026-09-20T10:41:05,gbp:5558918595392795634,越谷　整骨院,,,serper-places-auto
2026-09-20T10:41:05,gbp:5558918595392795634,越谷　交通事故治療,,,serper-places-auto
2026-09-20T10:41:05,gbp:5558918595392795634,越谷　訪問マッサージ,,,serper-places-auto
2026-09-20T10:41:05,gbp:5558918595392795634,せんげん台　整体,4.0,https://maps.app.goo.gl/uVZhgeL29M1kHYvYA?g_st=ic,serper-places-auto
2026-09-20T10:41:05,gbp:5558918595392795634,せんげん台　整骨院,,,serper-places-auto
2026-09-20T10:41:05,gbp:5558918595392795634,せんげん台　交通事故治療,8.0,https://maps.app.goo.gl/uVZhgeL29M1kHYvYA?g_st=ic,serper-places-auto
2026-09-20T10:41:05,gbp:120948687201481996,越谷　エステ,,,serper-places-auto
2026-09-20T10:41:05,gbp:120948687201481996,越谷　マッサージ,,,serper-places-auto
2026-09-20T10:41:05,gbp:120948687201481996,せんげん台　エステ,,,serper-places-auto
2026-09-20T10:41:05,gbp:120948687201481996,越谷　フェイシャル,,,serper-places-auto
2026-09-20T10:41:05,gbp:120948687201481996,越谷　オイルマッサージ,,,serper-places-auto
2026-09-20T10:41:05,gbp:120948687201481996,せんげん台　マッサージ,8.0,https://maps.app.goo.gl/L4bCG7AZKwzkhpFx5?g_st=ic,serper-places-auto
2026-09-20T10:41:05,gbp:5558918595392795634,越谷　整体,,,serper-places-auto
2026-09-20T10:41:05,gbp:5558918595392795634,せんげん台　訪問マッサージ,1.0,https://maps.app.goo.gl/uVZhgeL29M1kHYvYA?g_st=ic,serper-places-auto
2026-09-20T10:41:05,https://ponte-nene.net/,越谷　おすすめ,,,serper-auto
2026-09-20T10:41:05,https://ponte-aroma.jp/,越谷　マッサージ,,,serper-auto
2026-09-20T10:41:05,https://ponte-aroma.jp/,せんげん台　フェイシャル,9.0,https://ponte-aroma.jp/blog/detail/20211019161356/,serper-auto
2026-09-20T10:41:05,gbp:120948687201481996,せんげん台　フェイシャル,,,serper-places-auto
2026-09-20T10:41:05,https://ponte-nene.jp/,越谷　整体,,,serper-auto
2026-09-20T10:41:05,https://ponte-nene.jp/,越谷　整骨院,,,serper-auto
2026-09-20T10:41:05,https://ponte-nene.jp/,越谷　交通事故治療,,,serper-auto
2026-09-20T10:41:05,https://ponte-nene.jp/,越谷　訪問マッサージ,3.0,https://ponte-nene.jp/feature/visit-massage/,serper-auto
2026-09-20T10:41:05,https://ponte-nene.jp/,せんげん台　整体,4.0,https://ponte-nene.jp/,serper-auto
2026-09-20T10:41:05,https://ponte-aroma.jp/,せんげん台　オイルマッサージ,4.0,https://ponte-aroma.jp/,serper-auto
2026-09-20T10:41:05,https://ponte-nene.jp/,せんげん台　整骨院,6.0,https://ponte-nene.jp/,serper-auto
2026-09-20T10:41:05,https://ponte-nene.jp/,せんげん台　訪問マッサージ,1.0,https://ponte-nene.jp/feature/visit-massage/,serper-auto
2026-09-20T10:41:05,https://ponte-aroma.jp/,越谷　エステ,,,serper-auto
2026-09-20T10:41:05,https://ponte-aroma.jp/,越谷　フェイシャル,,,serper-auto
2026-09-20T10:41:05,https://ponte-aroma.jp/,越谷　オイルマッサージ,6.0,https://ponte-aroma.jp/,serper-auto
2026-09-20T10:41:05,https://ponte-aroma.jp/,せんげん台　マッサージ,5.0,https://ponte-aroma.jp/,serper-auto
2026-09-20T10:41:05,https://ponte-aroma.jp/,せんげん台　エステ,,,serper-auto
2026-09-20T10:41:05,https://ponte-nene.jp/,せんげん台　交通事故治療,9.0,https://ponte-nene.jp/column/category/%E4%BA%A4%E9%80%9A%E4%BA%8B%E6%95%85%E6%B2%BB%E7%99%82/15/,serper-auto
2026-09-20T10:41:05,gbp:120948687201481996,せんげん台　オイルマッサージ,1.0,https://maps.app.goo.gl/L4bCG7AZKwzkhpFx5?g_st=ic,serper-places-auto
